,index,Unnamed: 0,FIPS,both_gender_resp_mort,cause_id,cause_name,female_resp_mort,location_id,male_resp_mort,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
57,57,california_sonoma,6097.0,42.9684613867336,508,Chronic respiratory diseases,28.782937313259602,781,64.6884100494524,1980,366,0.8060109289617486,0.16666666666666666,0.01366120218579235,0.01366120218579235,0.0,0.0,174,68,38,0.1174863387978142,0.3743169398907104,0.5081967213114754,0.0,0.0,0.0
58,58,california_stanislaus,6099.0,57.358123527442395,508,Chronic respiratory diseases,35.011041168179105,791,91.35186466010241,1980,359,0.4986072423398329,0.3704735376044568,0.11142061281337047,0.016713091922005572,0.0027855153203342623,0.0,202,105,51,0.016713091922005572,0.6183844011142061,0.362116991643454,0.0027855153203342623,0.0,0.0
69,69,colorado_jefferson,8059.0,58.200336573867595,508,Chronic respiratory diseases,34.6440370667583,835,99.23647401401449,1980,348,0.5373563218390804,0.3850574712643678,0.07183908045977011,0.005747126436781609,0.0,0.0,166,90,49,0.3994252873563218,0.0,0.6005747126436781,0.0,0.0,0.0
70,70,colorado_larimer,8069.0,52.7508873276531,508,Chronic respiratory diseases,31.2548222455797,822,87.5826698619211,1980,320,0.678125,0.271875,0.034375,0.015625,0.0,0.0,190,85,34,0.859375,0.0,0.140625,0.0,0.0,0.0
71,71,colorado_mesa,8077.0,55.529661161556504,508,Chronic respiratory diseases,29.6648474223714,845,92.3660163004849,1980,303,0.943894389438944,0.056105610561056105,0.0,0.0,0.0,0.0,67,47,18,1.0,0.0,0.0,0.0,0.0,0.0
73,73,colorado_weld,8123.0,58.200336573867595,508,Chronic respiratory diseases,34.6440370667583,817,99.23647401401449,1980,364,0.7225274725274725,0.23901098901098905,0.03021978021978022,0.008241758241758242,0.0,0.0,192,77,43,0.3516483516483517,0.0,0.6483516483516484,0.0,0.0,0.0
74,74,connecticut_fairfield,9001.0,35.1423365907956,508,Chronic respiratory diseases,24.3868056798347,885,55.467279998845996,1980,366,0.09562841530054644,0.2841530054644809,0.226775956284153,0.21584699453551912,0.17759562841530055,0.0,289,219,120,0.5655737704918032,0.008196721311475409,0.3333333333333333,0.09289617486338797,0.0,0.0
80,80,delaware_kent,10001.0,42.2236900964386,508,Chronic respiratory diseases,27.4944281819277,889,67.1364542288555,1980,316,0.7721518987341772,0.13924050632911392,0.04746835443037975,0.04113924050632911,0.0,0.0,190,94,29,0.0,0.0,0.4177215189873418,0.5822784810126582,0.0,0.0
81,81,delaware_new castle,10003.0,37.44266651632329,508,Chronic respiratory diseases,24.4292280505342,888,60.9908103349592,1980,356,0.15168539325842698,0.43258426966292135,0.3258426966292135,0.0702247191011236,0.01966292134831461,0.0,228,148,93,0.011235955056179777,0.20786516853932585,0.2612359550561798,0.5196629213483146,0.0,0.0
83,83,florida_alachua,12001.0,46.92186939149629,508,Chronic respiratory diseases,26.1141352749891,921,78.7898894179344,1980,152,0.9210526315789472,0.05263157894736842,0.013157894736842105,0.013157894736842105,0.0,0.0,177,48,24,0.0,0.0,0.9210526315789472,0.07894736842105263,0.0,0.0
84,84,florida_bay,12005.0,53.098623559736396,508,Chronic respiratory diseases,32.938354553893106,907,83.4235514574425,1980,182,0.5164835164835165,0.27472527472527475,0.1868131868131868,0.02197802197802198,0.0,0.0,170,119,49,0.0,0.0,0.0,1.0,0.0,0.0
87,87,florida_citrus,12017.0,31.5877070980752,508,Chronic respiratory diseases,19.827215666517894,930,45.5997606537184,1980,357,0.8291316526610645,0.0896358543417367,0.0784313725490196,0.0028011204481792717,0.0,0.0,152,82,9,0.0,0.0,0.0,1.0,0.0,0.0
90,90,florida_gadsden,12039.0,41.760864939977495,508,Chronic respiratory diseases,21.4065495835739,897,76.7567149732666,1980,182,0.8791208791208791,0.06593406593406594,0.038461538461538464,0.016483516483516484,0.0,0.0,183,67,10,0.0,0.0,0.0,1.0,0.0,0.0
91,91,florida_hillsborough,12057.0,51.26854432439061,508,Chronic respiratory diseases,30.1916684812495,940,83.4731883289057,1980,366,0.24316939890710385,0.4262295081967213,0.26229508196721313,0.06557377049180327,0.00273224043715847,0.0,226,143,77,0.03825136612021858,0.07923497267759562,0.14754098360655735,0.7349726775956285,0.0,0.0
95,95,florida_leon,12073.0,45.2753396051353,508,Chronic respiratory diseases,30.080330901802807,898,72.2142855724487,1980,327,0.7828746177370031,0.16819571865443425,0.03975535168195719,0.009174311926605505,0.0,0.0,172,74,37,0.0,0.0,1.0,0.0,0.0,0.0
102,102,florida_seminole,12117.0,43.422529270185,508,Chronic respiratory diseases,28.060605364143505,932,67.0397857248022,1980,154,0.8766233766233766,0.09090909090909093,0.025974025974025976,0.006493506493506494,0.0,0.0,151,54,28,0.0,0.0,1.0,0.0,0.0,0.0
104,104,georgia_bibb,13021.0,41.997983518413,508,Chronic respiratory diseases,23.924333031002497,1037,80.0488197709651,1980,338,0.9526627218934912,0.038461538461538464,0.008875739644970414,0.0,0.0,0.0,118,34,10,0.0,0.0,0.0,1.0,0.0,0.0
106,106,georgia_coweta,13077.0,45.4645109676408,508,Chronic respiratory diseases,20.9786787068623,1017,87.21003103781601,1980,280,0.6714285714285714,0.225,0.09285714285714286,0.010714285714285714,0.0,0.0,167,101,20,0.0,0.0,0.0,1.0,0.0,0.0
108,108,georgia_fannin,13111.0,39.0066507474615,508,Chronic respiratory diseases,18.3767145037745,967,68.5482552945953,1980,302,0.5794701986754967,0.17549668874172186,0.1986754966887417,0.046357615894039736,0.0,0.0,200,132,36,0.0,0.0,0.0,1.0,0.0,0.0
109,109,georgia_floyd,13115.0,39.4068761690559,508,Chronic respiratory diseases,20.4702240281452,975,75.4506574838617,1980,326,0.7515337423312883,0.20245398773006132,0.04601226993865031,0.0,0.0,0.0,134,80,24,0.0,0.0,0.0,1.0,0.0,0.0
115,115,georgia_richmond,13245.0,47.215072385103205,508,Chronic respiratory diseases,26.3660533673247,1015,85.4838243282615,1980,333,0.9429429429429428,0.05705705705705705,0.0,0.0,0.0,0.0,90,43,13,0.0,0.0,0.0,1.0,0.0,0.0
122,122,idaho_shoshone,16079.0,54.5545546160335,508,Chronic respiratory diseases,29.623777853303398,1125,87.7307778018577,1980,366,0.0546448087431694,0.20491803278688525,0.4453551912568306,0.29508196721311475,0.0,0.0,200,198,121,0.0,0.0,0.0,1.0,0.0,0.0
123,123,illinois_adams,17001.0,38.209839160476996,508,Chronic respiratory diseases,16.4830673988285,1200,72.7570339552047,1980,325,0.6461538461538462,0.2430769230769231,0.1046153846153846,0.006153846153846154,0.0,0.0,156,104,41,0.0,0.0,0.6246153846153846,0.37538461538461537,0.0,0.0
131,131,illinois_macon,17115.0,46.284068168627904,508,Chronic respiratory diseases,26.568612009246998,1204,81.24077471753341,1980,355,0.5802816901408451,0.2591549295774648,0.1267605633802817,0.03380281690140845,0.0,0.0,200,116,43,0.0,0.0,0.428169014084507,0.571830985915493,0.0,0.0
132,132,illinois_macoupin,17117.0,36.373738135766395,508,Chronic respiratory diseases,18.7882245303787,1216,64.7801149026402,1980,215,0.772093023255814,0.13953488372093026,0.055813953488372085,0.027906976744186046,0.004651162790697674,0.0,201,93,34,0.0,0.0,1.0,0.0,0.0,0.0
134,134,illinois_massac,17127.0,57.5687001007291,508,Chronic respiratory diseases,29.2172740477071,1253,101.192471021236,1980,361,0.19113573407202214,0.1883656509695291,0.371191135734072,0.24930747922437674,0.0,0.0,200,186,116,0.0,0.0,0.0,1.0,0.0,0.0
135,135,illinois_monroe,17133.0,39.1710174937878,508,Chronic respiratory diseases,20.742529441415602,1237,67.7986917974403,1980,328,0.7103658536585366,0.18902439024390244,0.07926829268292683,0.018292682926829267,0.003048780487804878,0.0,202,101,38,0.0,0.0,1.0,0.0,0.0,0.0
139,139,illinois_sangamon,17167.0,41.3795731064301,508,Chronic respiratory diseases,25.4017115317384,1205,72.0742783230911,1980,351,0.39601139601139596,0.3076923076923077,0.19373219373219366,0.10256410256410256,0.0,0.0,200,151,62,0.33903133903133903,0.0,0.2478632478632479,0.4131054131054131,0.0,0.0
140,140,illinois_tazewell,17179.0,38.71885064610061,508,Chronic respiratory diseases,20.7425735273727,1189,68.25663900167591,1980,311,0.7877813504823151,0.1639871382636656,0.03858520900321544,0.00964630225080386,0.0,0.0,158,71,31,0.0,0.0,0.0,1.0,0.0,0.0
142,142,illinois_will,17197.0,38.915839088369395,508,Chronic respiratory diseases,22.294121307114395,1169,68.4198542422538,1980,358,0.4553072625698324,0.38826815642458096,0.1452513966480447,0.0111731843575419,0.0,0.0,190,110,54,0.15363128491620112,0.0,0.30446927374301674,0.5418994413407822,0.0,0.0
144,144,illinois_winnebago,17201.0,39.3439307010529,508,Chronic respiratory diseases,22.470748503145103,1257,67.5006657720285,1980,341,0.8944281524926686,0.08211143695014662,0.020527859237536656,0.0029325513196480943,0.0,0.0,169,51,27,0.0,0.0,0.6510263929618768,0.3489736070381232,0.0,0.0
145,145,indiana_allen,18003.0,36.0294465953914,508,Chronic respiratory diseases,20.945973938298604,1278,62.9318568719045,1980,357,0.7338935574229691,0.12885154061624648,0.08123249299719887,0.050420168067226885,0.0056022408963585435,0.0,202,122,37,0.0,0.0,1.0,0.0,0.0,0.0
149,149,indiana_delaware,18035.0,45.745332660735706,508,Chronic respiratory diseases,25.3338634232897,1300,82.0780404858708,1980,316,0.7911392405063291,0.1835443037974684,0.02531645569620253,0.0,0.0,0.0,124,69,29,0.0,0.0,0.0,1.0,0.0,0.0
150,150,indiana_floyd,18043.0,41.262942416421296,508,Chronic respiratory diseases,21.1690777021613,1350,75.5549213222418,1980,338,0.3017751479289941,0.3284023668639053,0.28994082840236685,0.07988165680473372,0.0,0.0,200,142,80,0.0,0.0,0.0,1.0,0.0,0.0
151,151,indiana_fountain,18045.0,49.5056758649662,508,Chronic respiratory diseases,24.705843246729803,1301,91.42482714228693,1980,211,0.5876777251184834,0.2417061611374408,0.13270142180094788,0.03791469194312797,0.0,0.0,200,119,44,0.0,0.0,0.0,1.0,0.0,0.0
152,152,indiana_gibson,18051.0,40.8677184078689,508,Chronic respiratory diseases,19.178251925295104,1346,76.99701887075379,1980,117,0.5641025641025641,0.3162393162393162,0.1111111111111111,0.008547008547008548,0.0,0.0,170,104,47,0.0,0.0,0.0,1.0,0.0,0.0
160,160,indiana_lake,18089.0,37.13974712334321,508,Chronic respiratory diseases,21.7017389342717,1269,60.8661683885106,1980,366,0.14207650273224046,0.27595628415300544,0.4016393442622951,0.17759562841530055,0.00273224043715847,0.0,214,172,107,0.0,0.0,0.1010928961748634,0.8989071038251366,0.0,0.0
165,165,indiana_spencer,18147.0,40.1191799567506,508,Chronic respiratory diseases,17.077833244516402,1354,70.41132838738791,1980,274,0.2335766423357664,0.4525547445255474,0.2883211678832117,0.025547445255474453,0.0,0.0,195,121,74,0.0,0.0291970802919708,0.0,0.9708029197080292,0.0,0.0
171,171,indiana_wayne,18177.0,39.377506329595,508,Chronic respiratory diseases,26.027271627300202,1308,63.1374522310704,1980,107,0.6542056074766355,0.14953271028037382,0.14953271028037382,0.04672897196261682,0.0,0.0,200,123,33,0.0,0.0,0.0,1.0,0.0,0.0
173,173,iowa_dubuque,19061.0,36.3591543681793,508,Chronic respiratory diseases,21.546664827702603,1391,67.7526278639084,1980,364,0.7115384615384616,0.23901098901098905,0.04395604395604396,0.0027472527472527475,0.0027472527472527475,0.0,204,77,39,0.8598901098901099,0.0,0.0,0.1401098901098901,0.0,0.0
175,175,iowa_linn,19113.0,44.0372492880725,508,Chronic respiratory diseases,24.3015982003745,1406,79.80933240483591,1980,364,0.4587912087912088,0.30494505494505497,0.2252747252747253,0.01098901098901099,0.0,0.0,200,117,57,0.054945054945054944,0.0,0.28846153846153844,0.6565934065934066,0.0,0.0
178,178,iowa_polk,19153.0,37.01768690683671,508,Chronic respiratory diseases,22.269851676687303,1418,65.4672985223818,1980,362,0.3121546961325967,0.4751381215469613,0.17403314917127072,0.03314917127071823,0.0055248618784530384,0.0,210,127,68,0.6933701657458563,0.0,0.21270718232044197,0.09392265193370164,0.0,0.0
180,180,iowa_story,19169.0,25.330346965795197,508,Chronic respiratory diseases,12.7525569500635,1414,48.3947404749995,1980,180,0.8166666666666667,0.12777777777777774,0.05,0.005555555555555557,0.0,0.0,163,74,7,0.0,0.0,0.0,1.0,0.0,0.0
184,184,kansas_wyandotte,20209.0,58.010904761458704,508,Chronic respiratory diseases,34.9825605219668,1493,97.4007221655187,1980,366,0.6010928961748634,0.226775956284153,0.16393442622950818,0.008196721311475409,0.0,0.0,197,111,40,0.4918032786885246,0.0,0.0,0.5081967213114754,0.0,0.0
186,186,kentucky_boyd,21019.0,52.974925774994,508,Chronic respiratory diseases,29.276146648471197,1584,91.2693568309629,1980,364,0.5769230769230769,0.3131868131868132,0.0934065934065934,0.013736263736263736,0.0027472527472527475,0.0,220,104,45,0.19505494505494506,0.12912087912087913,0.4587912087912088,0.21703296703296704,0.0,0.0
187,187,kentucky_boyle,21021.0,43.669030812829114,508,Chronic respiratory diseases,21.8017437133914,1629,79.3849640483553,1980,160,0.95625,0.0375,0.00625,0.0,0.0,0.0,119,46,19,0.0,0.0,1.0,0.0,0.0,0.0
189,189,kentucky_calloway,21035.0,37.9808441823088,508,Chronic respiratory diseases,13.8188769486675,1683,73.1063879465726,1980,165,0.5454545454545454,0.2363636363636364,0.15757575757575756,0.060606060606060615,0.0,0.0,195,129,48,0.0,0.0,1.0,0.0,0.0,0.0
195,195,kentucky_hancock,21091.0,47.717126364204596,508,Chronic respiratory diseases,18.2447400355326,1609,81.4549794892361,1980,260,0.4730769230769231,0.3807692307692308,0.1346153846153846,0.01153846153846154,0.0,0.0,200,108,52,0.0,0.0,0.09230769230769233,0.9076923076923076,0.0,0.0
199,199,kentucky_jefferson,21111.0,51.3209733073413,508,Chronic respiratory diseases,31.6709377273459,1588,88.4852060102171,1980,366,0.05737704918032788,0.19398907103825136,0.4644808743169399,0.21584699453551912,0.06830601092896177,0.0,245,190,121,0.07377049180327869,0.0546448087431694,0.22131147540983606,0.6502732240437158,0.0,0.0
200,200,kentucky_kenton,21117.0,47.2317353705632,508,Chronic respiratory diseases,26.634408278564802,1567,84.5164050111795,1980,362,0.8204419889502762,0.11878453038674032,0.019337016574585638,0.04143646408839779,0.0,0.0,187,71,34,0.8066298342541437,0.0,0.1933701657458564,0.0,0.0,0.0
206,206,kentucky_trigg,21221.0,34.998972159112604,508,Chronic respiratory diseases,15.9917720474651,1670,61.5039295806938,1980,272,0.9522058823529412,0.04411764705882353,0.0036764705882352936,0.0,0.0,0.0,112,43,14,0.0,0.0,0.0,1.0,0.0,0.0
207,207,kentucky_trimble,21223.0,45.2958056044819,508,Chronic respiratory diseases,20.456916683207893,1575,76.68797093464859,1980,274,0.5766423357664233,0.30656934306569344,0.09854014598540146,0.01824817518248175,0.0,0.0,200,104,43,0.0,0.11313868613138685,0.0,0.8868613138686131,0.0,0.0
209,209,louisiana_calcasieu,22019.0,39.028842345087796,508,Chronic respiratory diseases,19.8801538521057,1730,69.0243917902477,1980,263,0.8288973384030418,0.0988593155893536,0.05703422053231939,0.0038022813688212928,0.01140684410646388,0.0,238,84,30,0.0,0.0,1.0,0.0,0.0,0.0
210,210,louisiana_east baton rouge,22033.0,29.4525823965211,508,Chronic respiratory diseases,17.999231423997394,1724,50.34087852374821,1980,336,0.6428571428571429,0.2113095238095238,0.09523809523809523,0.03273809523809524,0.017857142857142856,0.0,240,112,39,0.0,0.0,0.8809523809523809,0.11904761904761905,0.0,0.0
215,215,maine_aroostook,23003.0,47.088424220409,508,Chronic respiratory diseases,24.347420278744398,1749,81.1226770002242,1980,361,0.3518005540166205,0.2326869806094183,0.2797783933518005,0.13573407202216067,0.0,0.0,200,163,85,0.0,0.0,0.08033240997229918,0.9196675900277008,0.0,0.0
219,219,maine_knox,23013.0,40.365896595395,508,Chronic respiratory diseases,22.8087725916475,1760,70.373626692498,1980,172,0.9593023255813954,0.040697674418604654,0.0,0.0,0.0,0.0,90,33,11,0.0,0.0,0.0,1.0,0.0,0.0
221,221,maine_penobscot,23019.0,48.85101878551561,508,Chronic respiratory diseases,27.539569778475798,1752,84.6441636455132,1980,366,0.15027322404371585,0.23224043715846995,0.319672131147541,0.2978142076502732,0.0,0.0,200,200,114,0.049180327868852465,0.0,0.07377049180327869,0.8770491803278688,0.0,0.0
224,224,maryland_anne arundel,24003.0,47.5061407776468,508,Chronic respiratory diseases,31.2170955076771,1778,75.96336113024451,1980,354,0.3531073446327684,0.4096045197740113,0.11016949152542373,0.07344632768361582,0.05367231638418079,0.0,224,156,64,0.0,0.13559322033898305,0.4011299435028249,0.4632768361581921,0.0,0.0
225,225,maryland_baltimore,24005.0,34.6818801587487,508,Chronic respiratory diseases,23.0753736693217,1771,55.8404342536839,1980,356,0.5252808988764045,0.22752808988764045,0.11797752808988765,0.06741573033707865,0.06179775280898876,0.0,237,169,49,0.0,0.19382022471910115,0.6376404494382022,0.16853932584269662,0.0,0.0
232,232,maryland_washington,24043.0,42.1195757282673,508,Chronic respiratory diseases,23.0156380269813,1765,74.1634060129825,1980,114,0.9210526315789472,0.07894736842105263,0.0,0.0,0.0,0.0,80,48,30,0.7192982456140351,0.0,0.2807017543859649,0.0,0.0,0.0
234,234,massachusetts_bristol,25005.0,32.4346058418318,508,Chronic respiratory diseases,18.320108201051106,1799,58.5399083041407,1980,366,0.5355191256830601,0.2923497267759563,0.12021857923497267,0.04371584699453552,0.008196721311475409,0.0,220,123,49,0.0,0.0,0.3469945355191257,0.6530054644808743,0.0,0.0
238,238,massachusetts_middlesex,25017.0,37.4010746940247,508,Chronic respiratory diseases,22.5475775973665,1792,66.914446606294,1980,366,0.4562841530054645,0.38524590163934425,0.10382513661202186,0.04098360655737705,0.01366120218579235,0.0,232,116,55,0.1557377049180328,0.04098360655737705,0.2814207650273224,0.5218579234972678,0.0,0.0
239,239,massachusetts_norfolk,25021.0,32.6540601131979,508,Chronic respiratory diseases,22.4931641820139,1798,53.1269509712309,1980,362,0.5469613259668509,0.3535911602209945,0.04972375690607735,0.03591160220994475,0.013812154696132596,0.0,218,100,49,0.0856353591160221,0.0,0.35911602209944754,0.5552486187845304,0.0,0.0
251,251,michigan_gratiot,26057.0,37.7840512737198,508,Chronic respiratory diseases,20.3138829842073,1857,66.3660251378757,1980,359,0.766016713091922,0.10027855153203342,0.12813370473537605,0.0055710306406685246,0.0,0.0,152,120,27,0.0,0.0,0.0,1.0,0.0,0.0
256,256,michigan_marquette,26103.0,36.85032487587,508,Chronic respiratory diseases,18.1125007326582,1807,65.2258249659834,1980,365,0.8876712328767123,0.06301369863013699,0.04383561643835617,0.0054794520547945215,0.0,0.0,169,56,36,0.0,0.0,0.8630136986301371,0.136986301369863,0.0,0.0
257,257,michigan_mason,26105.0,34.5574958263799,508,Chronic respiratory diseases,18.2110854444123,1839,58.818990937706296,1980,254,0.9527559055118109,0.047244094488188976,0.0,0.0,0.0,0.0,90,36,17,0.0,0.0,0.0,1.0,0.0,0.0
262,262,michigan_ottawa,26139.0,29.6889797652778,508,Chronic respiratory diseases,16.2941577014641,1861,51.9635416909747,1980,366,0.5218579234972678,0.3278688524590164,0.14207650273224046,0.008196721311475409,0.0,0.0,185,103,43,0.0,0.0,0.0,1.0,0.0,0.0
264,264,michigan_washtenaw,26161.0,40.0479720641685,508,Chronic respiratory diseases,26.7693760319073,1874,64.1301150818739,1980,363,0.8264462809917356,0.12396694214876032,0.03856749311294766,0.011019283746556474,0.0,0.0,166,76,29,0.0,0.0,0.5316804407713499,0.4683195592286502,0.0,0.0
268,268,minnesota_dakota,27037.0,37.6851138201185,508,Chronic respiratory diseases,22.7224617895337,1939,62.832848404801,1980,363,0.42424242424242425,0.2644628099173554,0.16804407713498626,0.14325068870523416,0.0,0.0,200,173,59,0.0,0.0,0.3443526170798898,0.6556473829201102,0.0,0.0
269,269,minnesota_hennepin,27053.0,36.7375086568542,508,Chronic respiratory diseases,22.6396479795091,1934,63.2781069154154,1980,362,0.35082872928176795,0.5580110497237569,0.08839779005524863,0.0027624309392265192,0.0,0.0,159,97,61,0.6022099447513812,0.0856353591160221,0.0,0.3121546961325967,0.0,0.0
271,271,minnesota_lake,27075.0,34.0360916136731,508,Chronic respiratory diseases,18.237118721192502,1893,55.7035714446745,1980,207,0.9565217391304348,0.033816425120772944,0.004830917874396135,0.004830917874396135,0.0,0.0,192,44,31,0.0,0.0,0.9565217391304348,0.043478260869565216,0.0,0.0
273,273,minnesota_ramsey,27123.0,35.5512304797336,508,Chronic respiratory diseases,22.464758141564804,1936,61.29760656052301,1980,366,0.371584699453552,0.5327868852459017,0.07923497267759562,0.016393442622950817,0.0,0.0,170,100,60,0.5191256830601093,0.10382513661202186,0.1366120218579235,0.2404371584699453,0.0,0.0
277,277,minnesota_washington,27163.0,40.987280286113894,508,Chronic respiratory diseases,23.7518844701539,1932,68.3747977138387,1980,343,0.5247813411078717,0.27113702623906705,0.16909620991253646,0.03498542274052478,0.0,0.0,185,123,49,0.0,0.0,0.27988338192419826,0.7201166180758017,0.0,0.0
281,281,mississippi_hinds,28049.0,35.4243978780107,508,Chronic respiratory diseases,21.2322905267015,2024,59.8585516087005,1980,366,0.6830601092896175,0.21311475409836064,0.09016393442622953,0.01092896174863388,0.00273224043715847,0.0,208,105,43,0.08743169398907104,0.25956284153005466,0.6530054644808743,0.0,0.0,0.0
283,283,mississippi_madison,28089.0,38.259835632501,508,Chronic respiratory diseases,19.128093248722802,2018,66.69378258871821,1980,287,0.7526132404181185,0.14634146341463414,0.09059233449477352,0.006968641114982578,0.003484320557491289,0.0,205,101,36,0.0,0.0,1.0,0.0,0.0,0.0
286,286,missouri_greene,29077.0,46.7494422297114,508,Chronic respiratory diseases,25.4364158566623,2146,83.9526581329639,1980,366,0.6284153005464481,0.2021857923497268,0.13934426229508196,0.030054644808743168,0.0,0.0,190,112,39,0.0,0.0,0.3114754098360656,0.6885245901639344,0.0,0.0
290,290,missouri_platte,29165.0,47.2423651703487,508,Chronic respiratory diseases,28.1402909046732,2088,76.6310206540999,1980,328,0.6493902439024389,0.2073170731707317,0.1097560975609756,0.027439024390243903,0.006097560975609756,0.0,210,115,33,0.009146341463414634,0.0,0.625,0.36585365853658536,0.0,0.0
292,292,missouri_saint louis,29189.0,33.525514014523104,508,Chronic respiratory diseases,22.4877052591239,2106,54.129422758586905,1980,356,0.14325842696629212,0.3735955056179776,0.3342696629213483,0.11235955056179776,0.03651685393258427,0.0,242,166,97,0.01966292134831461,0.1601123595505618,0.3876404494382023,0.43258426966292135,0.0,0.0
296,296,montana_jefferson,30043.0,70.1503999801173,508,Chronic respiratory diseases,40.447445423134,2211,106.189970330231,1980,31,0.8387096774193549,0.06451612903225806,0.0967741935483871,0.0,0.0,0.0,130,81,14,0.0,0.0,0.0,1.0,0.0,0.0
297,297,montana_lewis and clark,30049.0,58.18167901371861,508,Chronic respiratory diseases,35.48271813781621,2190,95.59499832524159,1980,257,0.5097276264591439,0.29571984435797666,0.16342412451361868,0.0311284046692607,0.0,0.0,200,114,50,0.0,0.0,0.0,1.0,0.0,0.0
304,304,nebraska_douglas,31055.0,46.8406307708444,508,Chronic respiratory diseases,28.4733216098988,2275,79.9080326283932,1980,366,0.5,0.24316939890710385,0.15027322404371585,0.060109289617486336,0.046448087431693985,0.0,226,154,51,0.15300546448087432,0.0,0.6338797814207651,0.21311475409836064,0.0,0.0
307,307,nevada_washoe,32031.0,69.3109478786808,508,Chronic respiratory diseases,50.9535704389386,2321,96.66090908358,1980,366,0.453551912568306,0.33879781420765026,0.1721311475409836,0.0273224043715847,0.008196721311475409,0.0,220,114,57,0.2650273224043716,0.3989071038251366,0.3360655737704918,0.0,0.0,0.0
316,316,new jersey_cape may,34009.0,37.8295264287155,508,Chronic respiratory diseases,23.9043728635365,2366,59.2703027904866,1980,233,0.6094420600858369,0.16738197424892706,0.13733905579399142,0.06437768240343347,0.02145922746781116,0.0,219,143,43,0.0,0.0,0.8884120171673819,0.11158798283261803,0.0,0.0
