HIV/AIDS and tuberculosis,,,,,,,,,,
Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"Cullman County, Alabama",1043,"1.05 (0.73, 1.46)","1.22 (0.92, 1.58)","5.01 (4.18, 5.90)","8.43 (7.22, 9.77)","2.69 (2.21, 3.30)","2.16 (1.71, 2.71)","1.41 (1.05, 1.81)","1.24 (0.92, 1.65)","18.74 (-23.41, 79.23)"
"Dale County, Alabama",1045,"0.73 (0.52, 1.00)","1.19 (0.91, 1.52)","5.59 (4.72, 6.54)","10.16 (8.76, 11.71)","3.91 (3.21, 4.72)","3.44 (2.76, 4.24)","2.51 (1.95, 3.13)","2.30 (1.76, 2.95)","216.54 (116.52, 369.68)"
"Dallas County, Alabama",1047,"2.27 (1.66, 2.99)","3.28 (2.60, 4.14)","11.31 (9.68, 13.09)","20.57 (18.01, 23.25)","8.31 (6.96, 9.81)","8.09 (6.65, 9.74)","5.86 (4.68, 7.07)","5.38 (4.30, 6.60)","137.03 (74.55, 239.26)"
"DeKalb County, Alabama",1049,"1.14 (0.81, 1.57)","1.27 (0.97, 1.63)","4.28 (3.59, 5.13)","7.38 (6.27, 8.64)","2.42 (1.92, 2.95)","2.09 (1.61, 2.67)","1.38 (1.01, 1.86)","1.16 (0.82, 1.56)","1.70 (-33.94, 63.92)"
"Elmore County, Alabama",1051,"1.00 (0.73, 1.37)","1.51 (1.18, 1.91)","6.45 (5.52, 7.52)","11.24 (9.75, 12.95)","4.16 (3.50, 4.93)","3.75 (3.05, 4.47)","2.58 (2.02, 3.16)","2.34 (1.84, 2.95)","133.52 (61.85, 241.39)"
"Escambia County, Alabama",1053,"1.56 (1.15, 2.07)","2.37 (1.92, 2.90)","9.05 (7.72, 10.41)","15.64 (13.66, 17.92)","5.73 (4.80, 6.82)","4.91 (4.01, 6.00)","3.51 (2.78, 4.43)","3.19 (2.42, 4.08)","104.91 (45.37, 195.28)"
"Etowah County, Alabama",1055,"1.46 (1.06, 1.94)","1.89 (1.52, 2.34)","6.69 (5.82, 7.78)","11.00 (9.50, 12.44)","3.92 (3.24, 4.64)","3.25 (2.63, 3.93)","2.19 (1.71, 2.74)","1.71 (1.30, 2.21)","17.15 (-20.96, 73.38)"
"Fayette County, Alabama",1057,"0.87 (0.59, 1.27)","1.13 (0.81, 1.57)","4.96 (3.85, 6.23)","9.20 (7.40, 11.28)","3.08 (2.29, 4.02)","2.72 (1.92, 3.65)","1.85 (1.23, 2.64)","1.60 (1.01, 2.33)","83.43 (16.48, 184.22)"
"Franklin County, Alabama",1059,"0.87 (0.59, 1.25)","1.08 (0.80, 1.43)","4.25 (3.40, 5.22)","8.02 (6.61, 9.55)","2.73 (2.12, 3.49)","2.41 (1.80, 3.16)","1.59 (1.10, 2.24)","1.42 (0.96, 2.05)","62.82 (5.81, 158.03)"
"Geneva County, Alabama",1061,"0.82 (0.57, 1.18)","1.24 (0.93, 1.64)","5.33 (4.31, 6.48)","9.56 (8.03, 11.28)","3.28 (2.53, 4.18)","2.94 (2.24, 3.86)","2.02 (1.42, 2.76)","1.85 (1.28, 2.61)","124.98 (51.68, 234.78)"
"Greene County, Alabama",1063,"2.54 (1.78, 3.57)","3.65 (2.79, 4.76)","12.29 (10.04, 14.69)","20.88 (17.42, 24.33)","7.68 (5.99, 9.56)","6.52 (5.00, 8.23)","4.44 (3.15, 6.07)","3.83 (2.65, 5.29)","50.61 (-2.46, 132.11)"
"Hale County, Alabama",1065,"1.72 (1.21, 2.37)","2.23 (1.67, 2.93)","8.11 (6.71, 9.83)","14.34 (12.00, 17.21)","5.33 (4.24, 6.56)","4.35 (3.27, 5.51)","2.91 (2.09, 3.92)","2.45 (1.70, 3.41)","41.92 (-7.81, 116.08)"
"Henry County, Alabama",1067,"1.16 (0.76, 1.62)","1.90 (1.41, 2.51)","8.15 (6.53, 9.90)","14.14 (11.74, 16.89)","5.51 (4.28, 6.89)","5.11 (3.96, 6.58)","3.78 (2.80, 5.03)","3.44 (2.49, 4.65)","196.47 (110.38, 327.02)"
"Houston County, Alabama",1069,"0.88 (0.64, 1.19)","1.49 (1.20, 1.84)","6.90 (6.01, 7.91)","12.29 (10.91, 13.90)","5.08 (4.22, 5.91)","4.72 (3.97, 5.63)","3.55 (2.94, 4.23)","3.40 (2.74, 4.16)","284.30 (178.14, 437.36)"
"Jackson County, Alabama",1071,"1.17 (0.81, 1.64)","1.37 (1.00, 1.82)","4.85 (3.91, 5.92)","8.27 (6.84, 9.73)","2.54 (1.96, 3.22)","2.15 (1.62, 2.79)","1.33 (0.95, 1.83)","1.14 (0.79, 1.58)","-2.02 (-34.35, 44.05)"
"Jefferson County, Alabama",1073,"2.08 (1.71, 2.47)","3.20 (2.77, 3.65)","11.78 (11.01, 12.60)","21.87 (20.76, 22.89)","8.83 (8.18, 9.56)","7.52 (6.91, 8.18)","5.55 (4.91, 6.18)","4.31 (3.76, 4.87)","106.93 (66.52, 157.46)"
"Lamar County, Alabama",1075,"0.77 (0.47, 1.14)","1.03 (0.72, 1.44)","5.02 (3.93, 6.30)","9.62 (7.73, 11.75)","3.10 (2.31, 4.06)","2.72 (1.83, 3.81)","1.78 (1.13, 2.60)","1.56 (0.93, 2.37)","103.77 (24.02, 229.09)"
"Lauderdale County, Alabama",1077,"1.09 (0.79, 1.47)","1.32 (1.05, 1.69)","4.75 (4.06, 5.51)","8.59 (7.42, 9.82)","2.70 (2.21, 3.21)","2.35 (1.89, 2.85)","1.55 (1.20, 1.97)","1.28 (0.94, 1.66)","17.67 (-21.16, 76.37)"
"Lawrence County, Alabama",1079,"1.22 (0.86, 1.69)","1.46 (1.09, 1.97)","5.11 (4.17, 6.12)","8.48 (6.98, 10.10)","2.72 (2.12, 3.45)","2.16 (1.65, 2.83)","1.38 (1.00, 1.86)","1.12 (0.77, 1.55)","-8.04 (-39.78, 40.88)"
"Lee County, Alabama",1081,"1.22 (0.88, 1.63)","1.80 (1.43, 2.23)","6.77 (5.87, 7.72)","12.56 (11.06, 14.18)","4.92 (4.20, 5.74)","4.56 (3.83, 5.43)","3.05 (2.52, 3.66)","3.07 (2.47, 3.77)","152.31 (80.92, 255.39)"
"Limestone County, Alabama",1083,"1.53 (1.13, 2.07)","2.00 (1.58, 2.52)","7.06 (6.07, 8.20)","12.59 (11.02, 14.39)","4.47 (3.77, 5.27)","4.20 (3.42, 5.01)","2.66 (2.14, 3.34)","2.47 (1.93, 3.13)","61.66 (10.38, 137.18)"
"Lowndes County, Alabama",1085,"2.45 (1.81, 3.27)","3.81 (2.98, 4.79)","13.69 (11.48, 16.36)","22.60 (19.34, 26.45)","9.46 (7.78, 11.46)","8.91 (7.06, 10.86)","6.55 (5.06, 8.34)","5.59 (4.31, 7.16)","128.25 (58.42, 227.24)"
"Macon County, Alabama",1087,"2.82 (2.07, 3.77)","4.42 (3.55, 5.47)","16.42 (14.08, 18.95)","26.23 (22.95, 29.83)","10.95 (9.08, 12.94)","9.31 (7.69, 11.18)","6.42 (5.19, 7.93)","5.59 (4.34, 7.12)","98.10 (39.64, 183.09)"
"Madison County, Alabama",1089,"2.10 (1.61, 2.66)","2.28 (1.87, 2.73)","6.24 (5.54, 7.00)","10.00 (9.11, 11.01)","3.62 (3.14, 4.14)","2.97 (2.57, 3.44)","2.16 (1.82, 2.56)","1.79 (1.48, 2.17)","-14.42 (-37.31, 17.01)"
"Marengo County, Alabama",1091,"1.29 (0.92, 1.80)","1.74 (1.32, 2.23)","7.13 (5.94, 8.49)","12.47 (10.44, 14.69)","4.31 (3.39, 5.47)","3.69 (2.82, 4.77)","2.36 (1.71, 3.16)","2.06 (1.39, 2.88)","59.55 (9.30, 131.23)"
"Marion County, Alabama",1093,"0.73 (0.50, 1.03)","0.97 (0.72, 1.28)","4.24 (3.44, 5.17)","7.76 (6.34, 9.31)","2.54 (1.93, 3.20)","2.13 (1.60, 2.78)","1.49 (1.07, 2.00)","1.28 (0.88, 1.83)","74.36 (13.43, 174.39)"
"Marshall County, Alabama",1095,"1.26 (0.89, 1.75)","1.49 (1.13, 1.95)","5.36 (4.49, 6.38)","8.60 (7.29, 9.95)","2.81 (2.27, 3.42)","2.41 (1.88, 3.02)","1.61 (1.19, 2.10)","1.27 (0.93, 1.68)","0.26 (-31.97, 50.94)"
"Mobile County, Alabama",1097,"1.45 (1.16, 1.80)","2.98 (2.60, 3.40)","11.04 (10.17, 11.94)","18.91 (17.70, 20.18)","9.59 (8.80, 10.42)","8.11 (7.36, 8.93)","6.11 (5.45, 6.87)","6.07 (5.34, 6.82)","318.97 (227.87, 437.14)"
"Monroe County, Alabama",1099,"1.24 (0.87, 1.70)","1.82 (1.37, 2.35)","7.56 (6.23, 9.07)","13.23 (11.16, 15.52)","4.63 (3.65, 5.81)","4.17 (3.20, 5.37)","2.95 (2.19, 3.96)","2.42 (1.73, 3.33)","95.34 (32.95, 192.35)"
"Montgomery County, Alabama",1101,"1.50 (1.18, 1.88)","2.78 (2.35, 3.32)","11.96 (10.82, 13.10)","21.59 (20.01, 23.31)","9.54 (8.53, 10.55)","8.51 (7.56, 9.52)","7.30 (6.41, 8.22)","6.83 (5.99, 7.81)","354.97 (253.19, 496.29)"
"Morgan County, Alabama",1103,"1.04 (0.76, 1.43)","1.32 (1.01, 1.68)","4.95 (4.16, 5.84)","8.01 (6.90, 9.27)","2.82 (2.34, 3.42)","2.47 (1.98, 3.05)","1.58 (1.22, 2.01)","1.30 (0.98, 1.69)","24.51 (-10.79, 78.72)"
"Perry County, Alabama",1105,"1.43 (0.95, 2.05)","2.04 (1.46, 2.77)","8.15 (6.49, 10.09)","14.62 (11.84, 17.84)","5.54 (4.08, 7.17)","4.83 (3.48, 6.51)","3.17 (2.09, 4.50)","2.55 (1.65, 3.69)","78.19 (21.71, 159.22)"
"Pickens County, Alabama",1107,"1.33 (0.93, 1.85)","1.75 (1.31, 2.28)","7.16 (5.93, 8.70)","12.32 (10.34, 14.40)","4.67 (3.69, 5.72)","3.86 (2.98, 5.02)","2.55 (1.88, 3.38)","2.32 (1.70, 3.14)","74.77 (16.19, 165.50)"
"Pike County, Alabama",1109,"0.96 (0.68, 1.33)","1.65 (1.26, 2.12)","7.86 (6.58, 9.31)","15.45 (13.12, 17.94)","6.25 (5.00, 7.67)","6.40 (5.04, 8.01)","4.74 (3.60, 6.04)","4.49 (3.33, 5.91)","365.89 (237.42, 549.31)"
"Randolph County, Alabama",1111,"1.08 (0.75, 1.46)","1.60 (1.19, 2.06)","7.02 (5.74, 8.35)","11.80 (9.83, 13.98)","3.99 (3.04, 4.97)","3.44 (2.56, 4.37)","2.16 (1.54, 2.90)","1.90 (1.29, 2.63)","75.67 (20.16, 157.46)"
"Russell County, Alabama",1113,"1.11 (0.81, 1.50)","1.91 (1.54, 2.36)","9.20 (7.91, 10.67)","16.33 (14.27, 18.45)","7.01 (5.93, 8.15)","6.20 (5.11, 7.44)","4.71 (3.78, 5.76)","4.46 (3.48, 5.56)","301.11 (184.97, 468.19)"
"Saint Clair County, Alabama",1115,"1.16 (0.80, 1.62)","1.42 (1.07, 1.88)","5.20 (4.29, 6.23)","9.18 (7.84, 10.77)","2.92 (2.35, 3.59)","2.43 (1.89, 3.08)","1.58 (1.16, 2.09)","1.37 (0.99, 1.79)","17.33 (-18.34, 71.41)"
"Shelby County, Alabama",1117,"0.75 (0.54, 1.02)","0.96 (0.74, 1.22)","3.54 (2.99, 4.16)","6.13 (5.30, 7.04)","2.00 (1.65, 2.40)","1.75 (1.41, 2.15)","1.23 (0.95, 1.59)","1.12 (0.86, 1.47)","50.35 (4.63, 118.11)"
"Sumter County, Alabama",1119,"1.81 (1.30, 2.45)","2.63 (2.07, 3.37)","10.12 (8.52, 12.14)","18.03 (15.39, 21.05)","7.52 (6.17, 9.12)","6.60 (5.27, 8.17)","4.69 (3.59, 6.07)","4.22 (3.12, 5.54)","132.78 (64.65, 237.90)"
"Talladega County, Alabama",1121,"1.58 (1.18, 2.10)","2.04 (1.59, 2.55)","7.62 (6.60, 8.77)","13.20 (11.49, 14.91)","4.96 (4.13, 5.89)","4.03 (3.33, 4.80)","2.85 (2.23, 3.56)","2.42 (1.86, 3.09)","53.43 (6.91, 114.86)"
"Tallapoosa County, Alabama",1123,"1.00 (0.68, 1.41)","1.47 (1.11, 1.90)","6.63 (5.48, 7.81)","12.29 (10.39, 14.33)","4.43 (3.54, 5.46)","3.90 (3.04, 4.85)","2.75 (2.08, 3.53)","2.44 (1.77, 3.23)","143.13 (73.09, 248.07)"
"Tuscaloosa County, Alabama",1125,"1.50 (1.09, 1.98)","1.90 (1.53, 2.36)","6.42 (5.61, 7.26)","12.52 (11.24, 13.94)","4.32 (3.65, 5.04)","3.65 (3.04, 4.38)","2.40 (1.89, 2.95)","2.19 (1.75, 2.72)","45.78 (2.90, 109.76)"
"Walker County, Alabama",1127,"1.16 (0.83, 1.62)","1.39 (1.04, 1.79)","5.65 (4.72, 6.63)","10.58 (9.02, 12.36)","3.52 (2.84, 4.32)","2.82 (2.24, 3.51)","1.89 (1.44, 2.45)","1.65 (1.21, 2.17)","41.50 (-4.52, 106.84)"
"Washington County, Alabama",1129,"0.84 (0.59, 1.17)","1.35 (1.03, 1.74)","5.95 (4.84, 7.19)","10.99 (9.17, 13.16)","4.08 (3.29, 5.05)","3.58 (2.75, 4.60)","2.47 (1.84, 3.29)","2.25 (1.60, 3.10)","167.01 (75.14, 315.29)"
"Wilcox County, Alabama",1131,"2.13 (1.48, 2.94)","3.00 (2.24, 3.85)","10.88 (8.82, 13.19)","18.12 (15.05, 21.23)","7.57 (5.78, 9.60)","6.28 (4.60, 8.19)","4.28 (3.12, 5.67)","3.71 (2.56, 5.08)","74.09 (24.64, 142.70)"
"Winston County, Alabama",1133,"0.91 (0.60, 1.34)","1.15 (0.80, 1.63)","4.61 (3.66, 5.77)","8.38 (6.72, 10.22)","2.77 (2.03, 3.70)","2.34 (1.62, 3.25)","1.55 (1.02, 2.26)","1.38 (0.86, 2.04)","51.43 (-0.87, 131.27)"
Alaska,2,"2.91 (2.01, 4.05)","2.55 (1.92, 3.32)","5.49 (4.79, 6.27)","8.19 (7.47, 8.93)","2.84 (2.50, 3.23)","2.34 (2.03, 2.70)","1.50 (1.24, 1.83)","1.27 (1.01, 1.59)","-56.38 (-71.72, -31.73)"
"Aleutians East Borough, Alaska",2013,"2.93 (1.31, 5.51)","2.18 (1.12, 3.78)","4.54 (3.05, 6.51)","7.15 (5.21, 9.96)","2.46 (1.55, 3.87)","1.78 (1.05, 2.81)","1.15 (0.60, 1.97)","0.97 (0.48, 1.75)","-66.95 (-85.90, -21.26)"
"Aleutians West Census Area, Alaska",2016,"2.93 (1.31, 5.51)","2.18 (1.12, 3.78)","4.54 (3.05, 6.51)","7.15 (5.21, 9.96)","2.46 (1.55, 3.87)","1.78 (1.05, 2.81)","1.15 (0.60, 1.97)","0.97 (0.48, 1.75)","-66.95 (-85.90, -21.26)"
"Anchorage Municipality, Alaska",2020,"2.35 (1.48, 3.54)","2.34 (1.61, 3.30)","5.92 (4.82, 7.11)","9.36 (8.04, 10.81)","3.18 (2.56, 3.87)","2.90 (2.29, 3.58)","1.87 (1.38, 2.44)","1.63 (1.20, 2.22)","-30.35 (-59.63, 20.61)"
"Bethel Census Area, Alaska",2050,"7.57 (4.23, 12.82)","6.36 (3.77, 10.24)","11.05 (7.69, 15.44)","15.72 (12.11, 20.37)","6.71 (4.60, 9.34)","5.29 (3.50, 7.79)","3.69 (2.29, 5.54)","3.04 (1.73, 4.86)","-59.78 (-79.69, -20.61)"
"Bristol Bay Borough, Alaska",2060,"3.72 (1.47, 7.58)","3.29 (1.39, 6.12)","6.01 (3.40, 9.62)","8.82 (5.20, 13.42)","3.53 (1.60, 6.40)","2.75 (1.19, 5.21)","1.80 (0.70, 3.69)","1.54 (0.52, 3.50)","-58.77 (-85.49, 13.61)"
"Denali Borough, Alaska",2068,"3.44 (1.94, 5.55)","2.85 (1.73, 4.34)","5.80 (4.33, 7.66)","8.85 (6.92, 11.16)","3.06 (2.25, 4.08)","2.24 (1.55, 3.07)","1.41 (0.91, 2.04)","1.14 (0.70, 1.74)","-66.78 (-82.89, -34.08)"
"Dillingham Census Area, Alaska",2070,"4.31 (2.35, 7.20)","4.27 (2.43, 6.92)","7.30 (5.03, 10.30)","10.67 (8.05, 13.97)","4.22 (2.83, 5.87)","3.18 (2.08, 4.61)","2.00 (1.18, 3.08)","1.59 (0.90, 2.60)","-63.12 (-80.86, -28.36)"
"Fairbanks North Star Borough, Alaska",2090,"1.94 (1.05, 3.08)","1.94 (1.23, 2.92)","3.98 (3.13, 5.13)","6.01 (4.91, 7.19)","2.14 (1.65, 2.76)","1.72 (1.27, 2.28)","1.14 (0.79, 1.59)","0.98 (0.64, 1.42)","-49.72 (-73.84, 2.42)"
"Haines Borough, Alaska",2100,"1.72 (0.73, 3.42)","1.52 (0.76, 2.67)","3.26 (2.03, 4.89)","4.85 (3.14, 6.98)","1.59 (0.89, 2.64)","1.18 (0.62, 2.00)","0.74 (0.35, 1.40)","0.57 (0.24, 1.13)","-66.74 (-86.62, -17.17)"
"Hoonah-Angoon Census Area, Alaska",2105,"2.62 (1.41, 4.31)","2.15 (1.28, 3.40)","4.53 (3.21, 6.17)","6.68 (4.96, 8.76)","2.31 (1.57, 3.29)","1.70 (1.10, 2.50)","1.04 (0.63, 1.67)","0.79 (0.43, 1.35)","-69.81 (-85.53, -35.73)"
"Juneau City and Borough, Alaska",2110,"3.36 (1.77, 5.72)","3.09 (1.89, 4.60)","5.79 (4.44, 7.50)","7.71 (6.27, 9.39)","2.73 (2.06, 3.55)","2.10 (1.53, 2.85)","1.37 (0.91, 1.96)","1.13 (0.70, 1.77)","-66.38 (-84.53, -26.79)"
"Kenai Peninsula Borough, Alaska",2122,"1.46 (0.84, 2.33)","1.43 (0.91, 2.05)","3.66 (2.90, 4.58)","5.81 (4.78, 7.04)","1.86 (1.40, 2.40)","1.40 (1.04, 1.81)","0.94 (0.66, 1.31)","0.77 (0.52, 1.08)","-47.50 (-70.78, -1.54)"
"Ketchikan Gateway Borough, Alaska",2130,"3.22 (1.76, 5.43)","2.62 (1.62, 3.96)","5.25 (3.98, 6.87)","7.34 (5.84, 9.16)","2.45 (1.76, 3.32)","1.81 (1.25, 2.55)","1.15 (0.70, 1.76)","0.91 (0.51, 1.46)","-71.64 (-87.42, -37.34)"
"Kodiak Island Borough, Alaska",2150,"2.28 (1.13, 4.28)","2.16 (1.15, 3.85)","4.31 (2.98, 6.04)","6.49 (4.77, 8.59)","2.13 (1.40, 3.17)","1.67 (1.03, 2.63)","1.01 (0.58, 1.69)","0.80 (0.43, 1.37)","-64.73 (-82.79, -27.36)"
"Kusilvak Census Area, Alaska",2158,"8.79 (5.08, 14.55)","8.08 (5.13, 12.50)","13.64 (10.13, 18.10)","19.98 (15.55, 25.54)","9.30 (6.55, 12.72)","7.49 (4.97, 10.70)","5.40 (3.29, 8.22)","4.39 (2.57, 6.94)","-50.09 (-75.12, 0.47)"
"Lake and Peninsula Borough, Alaska",2164,"4.31 (2.35, 7.20)","4.27 (2.43, 6.92)","7.30 (5.03, 10.30)","10.67 (8.05, 13.97)","4.22 (2.83, 5.87)","3.18 (2.08, 4.61)","2.00 (1.18, 3.08)","1.59 (0.90, 2.60)","-63.12 (-80.86, -28.36)"
"Matanuska-Susitna Borough, Alaska",2170,"1.36 (0.81, 2.21)","1.34 (0.86, 1.98)","3.21 (2.53, 4.08)","4.96 (4.05, 6.10)","1.59 (1.22, 2.03)","1.28 (0.95, 1.68)","0.85 (0.61, 1.18)","0.71 (0.48, 1.01)","-48.19 (-70.21, -7.63)"
"Nome Census Area, Alaska",2180,"6.32 (3.51, 10.05)","5.52 (3.34, 8.51)","10.22 (7.43, 13.82)","14.49 (11.06, 18.40)","5.85 (4.07, 8.21)","4.42 (3.02, 6.21)","3.03 (1.93, 4.59)","2.41 (1.43, 3.81)","-61.92 (-80.15, -23.47)"
"North Slope Borough, Alaska",2185,"5.04 (2.40, 8.85)","4.12 (2.12, 6.90)","8.70 (5.85, 12.11)","12.39 (8.98, 16.17)","4.50 (2.94, 6.65)","2.98 (1.87, 4.43)","1.68 (0.95, 2.69)","1.36 (0.71, 2.29)","-73.10 (-87.55, -41.34)"
